AGENT_ID,AGENT_NAME,PHONE,HIRE_DATE,CITY,VEHICLE_TYPE,STATUS
1,Kimberly Franklin,8692764434,2024-11-14 18:57:00,Mumbai,Cycle,ACTIVE
2,Carla Rogers,7727976135,2024-06-13 10:59:00,Bengaluru,Bike,INACTIVE
3,Tracy Jenkins,9244952894,2024-05-18 16:25:00,Hyderabad,Cycle,ACTIVE
4,Seth Schultz,4017910244,2023-12-15 17:35:00,Pune,Cycle,INACTIVE
5,Dylan Dougherty,2598835739,2023-08-13 15:51:00,Bengaluru,Scooter,INACTIVE
6,Robert Mendoza,1755349698,2023-10-29 03:25:00,Delhi,Bike,ACTIVE
7,William Cook,7511911755,2023-02-04 15:13:00,Bengaluru,Scooter,INACTIVE
8,Maria Gay,0371428028,2024-03-02 23:14:00,Pune,Bike,INACTIVE
9,David Kim,7234511238,2023-08-07 07:57:00,Bengaluru,Bike,ACTIVE
10,Alexander Blanchard,5758893956,2024-03-17 23:47:00,Bengaluru,Bike,INACTIVE
11,Sarah Flores,7344760311,2023-12-12 07:31:00,Bengaluru,Cycle,ACTIVE
12,David Watson,2260942389,2024-05-16 07:00:00,Chennai,Bike,ACTIVE
13,Amber Stevens,1526014585,2023-09-19 23:23:00,Bengaluru,Bike,INACTIVE
14,Ronald Armstrong,5195026094,2024-05-19 21:15:00,Bengaluru,Scooter,ACTIVE
15,Kevin Walker,2967853493,2023-08-09 16:34:00,Hyderabad,Cycle,ACTIVE
16,Maria Henry,3489704114,2023-01-29 14:08:00,Bengaluru,Cycle,ACTIVE
17,Nicole King,4961993968,2023-02-22 00:29:00,Delhi,Scooter,ACTIVE
18,Janice Price,1708023980,2023-02-16 16:16:00,Mumbai,Bike,INACTIVE
19,Tina Meyer,1004556629,2023-07-06 09:13:00,Pune,Cycle,INACTIVE
20,Ruben Miller,2383995075,2023-05-11 10:11:00,Pune,Cycle,INACTIVE
21,Cindy Juarez,2350149347,2024-05-04 08:19:00,Mumbai,Scooter,INACTIVE
22,Meghan Anderson,2459781831,2023-03-04 14:29:00,Delhi,Bike,ACTIVE
23,Jessica Pacheco,3609690584,2023-12-10 07:28:00,Pune,Scooter,ACTIVE
24,Vanessa Ramirez,3125411392,2023-05-13 00:49:00,Pune,Bike,ACTIVE
25,Cheryl Walker,5976053517,2024-09-28 11:47:00,Pune,Cycle,ACTIVE
26,Ashley Norman,7591867084,2023-08-28 10:42:00,Chennai,Cycle,INACTIVE
27,Edward Rodriguez,3121838598,2023-01-12 18:20:00,Bengaluru,Cycle,INACTIVE
28,Cory Murphy,7822250170,2024-07-06 08:58:00,Delhi,Scooter,INACTIVE
29,Darrell Johnson,6367507301,2023-12-01 15:14:00,Chennai,Cycle,ACTIVE
30,Jonathan Chan,7676883967,2024-04-02 08:59:00,Delhi,Bike,ACTIVE
31,Jade Garcia,6301691719,2023-11-19 08:53:00,Bengaluru,Cycle,INACTIVE
32,Thomas Moran,2777062519,2023-03-28 12:37:00,Chennai,Cycle,INACTIVE
33,Wendy Washington,3573406575,2024-03-05 16:31:00,Delhi,Bike,ACTIVE
34,Jonathan Buchanan,2117466657,2023-02-19 03:59:00,Chennai,Scooter,INACTIVE
35,Wendy Rodriguez,6561086724,2023-11-20 20:31:00,Chennai,Cycle,ACTIVE
36,Scott Lopez,1015449440,2023-02-06 00:49:00,Bengaluru,Bike,INACTIVE
37,Ryan Osborne,8098060202,2024-10-04 02:40:00,Delhi,Bike,INACTIVE
38,Bobby Gonzalez,2677612169,2024-10-06 18:23:00,Bengaluru,Scooter,INACTIVE
39,Lori White,9138497917,2023-01-20 19:29:00,Bengaluru,Scooter,INACTIVE
40,Melissa Ortega,5908434598,2024-03-19 12:15:00,Delhi,Cycle,INACTIVE
41,Amber Sanchez,9730133704,2023-01-06 01:40:00,Bengaluru,Bike,INACTIVE
42,Allison Mckay,1111431560,2023-02-08 00:46:00,Delhi,Cycle,INACTIVE
43,Eric Moreno,6842330474,2023-09-18 12:14:00,Delhi,Cycle,INACTIVE
44,Ebony Kim,6445008644,2024-01-30 18:02:00,Mumbai,Scooter,INACTIVE
45,Kathleen Steele,2847678084,2023-12-26 05:48:00,Delhi,Scooter,ACTIVE
46,Colin Holmes,4759393957,2023-10-16 18:49:00,Hyderabad,Cycle,ACTIVE
47,Sonya Taylor,6648015200,2023-10-16 13:31:00,Pune,Bike,INACTIVE
48,Michael Baker,1884904372,2024-03-30 14:24:00,Bengaluru,Bike,ACTIVE
49,Sarah Lawson,9722897518,2024-06-27 01:20:00,Chennai,Scooter,INACTIVE
50,Maria Smith,7151421878,2023-03-23 03:02:00,Hyderabad,Bike,ACTIVE
51,Luke Moore,8640228252,2024-11-14 03:38:00,Pune,Scooter,ACTIVE
52,Mrs. Cathy Hansen,4376891384,2024-11-28 22:27:00,Delhi,Bike,ACTIVE
53,Kyle Morrison,7322208138,2024-01-12 19:19:00,Delhi,Cycle,ACTIVE
54,Diana Jenkins,1350491099,2023-11-12 08:12:00,Bengaluru,Scooter,ACTIVE
55,Anthony Mcconnell DVM,8946273208,2024-03-25 02:24:00,Pune,Scooter,ACTIVE
56,Mr. Todd Ferguson Jr.,4225694853,2024-10-09 14:46:00,Chennai,Scooter,INACTIVE
57,Phyllis Weeks,6647050035,2024-05-10 22:34:00,Pune,Bike,ACTIVE
58,Kenneth Williams,2717746710,2024-10-02 01:21:00,Chennai,Bike,ACTIVE
59,Alan Ellis,2431041711,2024-12-18 08:26:00,Bengaluru,Cycle,INACTIVE
60,Thomas Johnson,1678782899,2024-02-16 16:06:00,Bengaluru,Bike,INACTIVE
61,Joseph Graham,5963535335,2023-11-11 12:49:00,Bengaluru,Scooter,INACTIVE
62,Joy Orr,9157073823,2023-10-27 09:29:00,Pune,Cycle,INACTIVE
63,Tammy Cooper,1924339094,2023-10-17 12:28:00,Chennai,Cycle,ACTIVE
64,Steven Bray,6741251394,2023-09-15 23:19:00,Delhi,Bike,ACTIVE
65,Andrew Kane,0074785487,2023-07-09 17:21:00,Bengaluru,Bike,ACTIVE
66,Natasha Fox,8376475070,2024-03-30 21:35:00,Mumbai,Scooter,INACTIVE
67,Stephanie Taylor,8690424607,2024-05-19 20:19:00,Chennai,Bike,INACTIVE
68,Julie Hernandez,4205493504,2023-11-29 19:36:00,Bengaluru,Cycle,INACTIVE
